sample_date_utc,year_month,year,month,taxon_name,taxon_group,taxon_per_m3,plankton_type
2019-08-03T21:41:21Z,2019/8,2019,8,Ditrichocorycaeus spp. m,COPEPOD,0.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Euchaeta concinna f,COPEPOD,1.3333,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Euchaeta concinna m,COPEPOD,0.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Euchaeta spp. j,COPEPOD,1.3333,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Farranula gibbula f,COPEPOD,1.3333,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Microsetella norvegica m,COPEPOD,0.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Nauplii calanoid,COPEPOD,1.3333,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Nauplii poecilostomatoida / cyclopoid,COPEPOD,1.3333,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Oithona Grp3 (pointy head) f,COPEPOD,2.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Oithona atlantica f,COPEPOD,0.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Oithona plumifera f,COPEPOD,20,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Oithona similis f,COPEPOD,1.3333,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Oithona spp.,COPEPOD,0.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Oithona spp. j,COPEPOD,12,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Oithona spp. m,COPEPOD,0.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Oncaea venusta complex m,COPEPOD,0.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Paracalanus aculeatus f,COPEPOD,2.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Subeucalanus spp. j,COPEPOD,1.3333,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Temora turbinata j,COPEPOD,0.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Temora turbinata m,COPEPOD,0.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Undinula vulgaris,COPEPOD,0.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Undinula vulgaris m,COPEPOD,0.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Amphipod,NON-COPEPOD,0.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Barnacle nauplii,NON-COPEPOD,2,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Brachyuran zoea,NON-COPEPOD,2,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Chaetognatha,NON-COPEPOD,12.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Colonial ascidian larvae,NON-COPEPOD,0.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Cyttarocylis spp.,NON-COPEPOD,0.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Decapod larvae,NON-COPEPOD,2,zooplankton
