sample_date_utc,year_month,year,month,day,taxon_name,taxon_group,taxon_per_m3,plankton_type
2019-08-04T03:04:55Z,2019/8,2019,8,4,Chaetognatha,NON-COPEPOD,22.6667,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Decapod larvae,NON-COPEPOD,2.6667,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Doliolum spp.,NON-COPEPOD,0.6667,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Egg,NON-COPEPOD,0.6667,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Eutintinnus spp.,NON-COPEPOD,0.6667,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Oikopleuridae,NON-COPEPOD,20.6667,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Prosobranch,NON-COPEPOD,0.6667,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Acartia negligens f,COPEPOD,0.6667,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Acartia spp.,COPEPOD,0.6667,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Calanid CV,COPEPOD,1.3333,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Calanoid j,COPEPOD,2.6667,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Polychaete larvae,NON-COPEPOD,0.6667,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Acartia pacifica f,COPEPOD,1.3333,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Calanid CV,COPEPOD,2,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Calanidae f,COPEPOD,0.6667,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Calanoid j,COPEPOD,18.6667,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Candacia spp. j,COPEPOD,0.6667,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Canthocalanus pauper f,COPEPOD,2,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Centropages furcatus f,COPEPOD,0.6667,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Clausocalanus arcuicornis f,COPEPOD,0.6667,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Clausocalanus furcatus f,COPEPOD,0.6667,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Clausocalanus spp. f,COPEPOD,0.6667,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Copepod damaged / unidentified,COPEPOD,1.3333,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Corycaeidae,COPEPOD,0.6667,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Corycaeus speciosus m,COPEPOD,0.6667,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Ditrichocorycaeus asiaticus m,COPEPOD,2,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Ditrichocorycaeus spp. f,COPEPOD,2,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Ditrichocorycaeus spp. m,COPEPOD,0.6667,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Eucalanidae j,COPEPOD,3.3333,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Euchaeta concinna f,COPEPOD,0.6667,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Euchaeta spp. j,COPEPOD,2,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Euterpina acutifrons f,COPEPOD,0.6667,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Farranula gibbula f,COPEPOD,0.6667,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Labidocera spp. j,COPEPOD,0.6667,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Nauplii copepod,COPEPOD,4.6667,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Oithona plumifera f,COPEPOD,61.3333,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Oithona spp. j,COPEPOD,1.3333,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Paracalanus aculeatus f,COPEPOD,4,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Paracalanus indicus f,COPEPOD,0.6667,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Subeucalanus subcrassus f,COPEPOD,0.6667,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Undinula vulgaris CV,COPEPOD,0.6667,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Undinula vulgaris f,COPEPOD,1.3333,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Undinula vulgaris m,COPEPOD,1.3333,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Barnacle nauplii,NON-COPEPOD,0.6667,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Bivalve,NON-COPEPOD,1.3333,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Bryozoan (Cyphonaute larvae),NON-COPEPOD,1.3333,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Chaetognatha,NON-COPEPOD,24,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Decapod larvae,NON-COPEPOD,2.6667,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Oikopleuridae,NON-COPEPOD,3.3333,zooplankton
2019-08-04T04:52:47Z,2019/8,2019,8,4,Siphonophore,NON-COPEPOD,0.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Calanoid j,COPEPOD,7.3333,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Subeucalanus spp. j,COPEPOD,0.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Paracalanus indicus f,COPEPOD,1.3333,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Paracalanus aculeatus f,COPEPOD,1.3333,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Onychocorycaeus catus f,COPEPOD,0.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Oithona tenuis f,COPEPOD,0.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Oithona spp. m,COPEPOD,0.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Siphonophore,NON-COPEPOD,0.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Salpidae,NON-COPEPOD,0.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Rhabdonella spiralis,NON-COPEPOD,2,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Subeucalanus subcrassus f,COPEPOD,0.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Pterotracheid,NON-COPEPOD,0.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Oikopleuridae,NON-COPEPOD,13.3333,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Oithona spp. j,COPEPOD,14,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Oithona plumifera f,COPEPOD,57.3333,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Oithona Grp3 (pointy head) f,COPEPOD,1.3333,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Nauplii poecilostomatoida / cyclopoid,COPEPOD,0.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Labidocera spp. j,COPEPOD,0.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Labidocera minuta m,COPEPOD,0.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Farranula spp. f,COPEPOD,0.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Farranula gibbula f,COPEPOD,0.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Euchaeta spp. j,COPEPOD,0.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Ditrichocorycaeus spp. m,COPEPOD,0.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Ditrichocorycaeus lubbocki f,COPEPOD,0.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Ditrichocorycaeus asiaticus m,COPEPOD,0.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Ditrichocorycaeus asiaticus f,COPEPOD,1.3333,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Corycaeus speciosus m,COPEPOD,0.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Corycaeidae,COPEPOD,1.3333,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Copepod damaged / unidentified,COPEPOD,2,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Clausocalanus spp. j,COPEPOD,0.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Clausocalanus furcatus f,COPEPOD,0.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Clausocalanus arcuicornis f,COPEPOD,10.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Centropages furcatus j,COPEPOD,0.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Centropages furcatus f,COPEPOD,0.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Canthocalanus pauper CV,COPEPOD,5.3333,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Candacia spp. j,COPEPOD,1.3333,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Candacia discaudata m,COPEPOD,0.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Candacia discaudata f,COPEPOD,0.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Calanopia spp. j,COPEPOD,1.3333,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Decapod larvae,NON-COPEPOD,6,zooplankton
